id	content	label	words	pred_label
1	所以注定我这辈子是做不了商人妈蛋	angry	所 以 注 定 我 这 辈 子 是 做 不 了 商 人 妈 蛋	0
2	无论是心情多么低沉的夜晚,天光大亮后都是崭新的开始。	happy	无 论 是 心 情 多 么 低 沉 的 夜 晚 , 天 光 大 亮 后 都 是 崭 新 的 开 始 。	2
3	帽子怎么就变绿色幸好只是试一下	sad	帽 子 怎 么 就 变 绿 色 幸 好 只 是 试 一 下	2
4	不想当个好人,好人的背后有多少的心酸害怕喝醉酒的人,害怕他们做出无法挽回的事情是真的会醉么?还是找个机会发泄出平时不敢说的话,不敢做的事呢,这样失控的人,真的很可怕2016.10.1晚上八点二十八分	neutral	不 想 当 个 好 人 , 好 人 的 背 后 有 多 少 的 心 酸 害 怕 喝 醉 酒 的 人 , 害 怕 他 们 做 出 无 法 挽 回 的 事 情 是 真 的 会 醉 么 ? 还 是 找 个 机 会 发 泄 出 平 时 不 敢 说 的 话 , 不 敢 做 的 事 呢 , 这 样 失 控 的 人 , 真 的 很 可 怕 2 0 1 6 . 1 0 . 1 晚 上 八 点 二 十 八 分	1
5	一种爱是你可以为她去死;还有一种爱是得为你爱的人好好活着。	happy	一 种 爱 是 你 可 以 为 她 去 死 ; 还 有 一 种 爱 是 得 为 你 爱 的 人 好 好 活 着 。	2
6	考了两次普通话,每次都离目标差一点点,就一点点!!要被气死了!!	angry	考 了 两 次 普 通 话 , 每 次 都 离 目 标 差 一 点 点 , 就 一 点 点 ! ! 要 被 气 死 了 ! !	0
7	尼玛吓死我了,人家剪个头发回来跟劳改犯一样短的可怕,后面什么鬼《黑线》《黑线》《黑线》《白眼》《白眼》	fear	尼 玛 吓 死 我 了 , 人 家 剪 个 头 发 回 来 跟 劳 改 犯 一 样 短 的 可 怕 , 后 面 什 么 鬼 《 黑 线 》 《 黑 线 》 《 黑 线 》 《 白 眼 》 《 白 眼 》	1
8	活在阴影里这么久,还不是出来的时候	neutral	活 在 阴 影 里 这 么 久 , 还 不 是 出 来 的 时 候	0
9	小紧张~不过美美羊和圆圆媛要去看我表演,好开森啊!	happy	小 紧 张 ~ 不 过 美 美 羊 和 圆 圆 媛 要 去 看 我 表 演 , 好 开 森 啊 !	2
10	感觉自己被一杯红茶玛奇朵给收买了不开心	sad	感 觉 自 己 被 一 杯 红 茶 玛 奇 朵 给 收 买 了 不 开 心	4
11	你以为你是谁啊。就你这样的,,,,我也是醉了!	angry	你 以 为 你 是 谁 啊 。 就 你 这 样 的 , , , , 我 也 是 醉 了 !	0
12	是安徽省规模较大的科技中介机构之一。	neutral	是 安 徽 省 规 模 较 大 的 科 技 中 介 机 构 之 一 。	3
